movie_id,cast_id
1946,62421
1946,15331
1946,58464
1946,63028
1946,1613
1946,8227
1946,15332
1946,21044
1946,33775
1946,34223
1946,34280
1946,44814
1946,49300
1946,53168
1946,55899
1946,56120
1946,62014
1946,63261
1946,7929
1946,15333
1946,18602
1946,28697
1946,49650
1946,51746
1946,54019
1946,59969
1946,15334
1946,15335
1946,15280
1946,15336
1946,29808
1946,30040
1946,31094
1946,33431
1946,35035
1946,36348
1946,44108
1946,56732
1946,8238
1946,13254
1946,13273
1946,14958
1946,15337
1946,17170
1946,17683
1946,18119
1946,23228
1946,24368
1946,27561
1946,28316
1946,29908
1946,32723
1946,35097
1946,39623
1946,40105
1946,41060
1946,46762
1947,1734
1947,10419
1947,14718
1947,15338
1947,17689
1947,17732
1947,17797
1947,17872
1947,19813
1947,21039
1947,26908
1947,35021
1947,35102
1947,35110
1947,35359
1947,35405
1947,35427
1947,35762
1947,44119
1947,45502
1947,45555
1947,45565
1947,50614
1947,50995
1947,51175
1947,54130
1947,55215
1947,56723
1947,58586
1947,61106
